PERSONID,REGION_CODE,REGION_Pref_Level,REGION_Pref_Rank
100064,411,2,1
100064,419,3,5
100064,432,3,3
100064,400,1,2
100064,401,1,1
100064,409,3,2
100064,NA,3,3
100064,416,3,1
100064,404,3,4
100064,421,2,2
101497,400,2,1
101497,404,1,1
101497,432,2,1
101497,406,2,1
101497,410,2,1
101497,401,2,1
101497,437,2,1
101497,443,2,1
101497,419,2,1
101497,423,2,1
103346,409,1,1
103346,406,3,7
103346,410,3,3
103346,438,3,4
103346,413,3,2
103346,421,2,1
103346,416,3,1
103346,NA,3,5
103346,430,3,7
103346,429,3,6
101620,423,2,1
101620,439,2,1
101620,404,2,1
101620,410,2,1
101620,438,2,1
101620,424,3,1
101620,437,2,1
101620,438,1,1
101620,407,3,1
101620,422,2,1
103743,438,1,1
103743,442,2,1
103743,412,3,3
103743,411,1,2
103743,430,3,4
103743,414,3,2
103743,435,3,5
103743,434,2,2
103743,429,3,1
103743,421,1,3
109532,438,3,1
109532,402,3,1
109532,444,3,1
109532,405,3,1
109532,437,3,1
109532,415,3,1
109532,434,3,1
109532,410,3,1
109532,431,1,1
109532,400,3,1
100337,415,1,1
100337,419,1,1
100337,423,3,3
100337,432,2,2
100337,413,2,1
100337,NA,1,1
100337,406,2,2
100337,414,2,2
100337,430,2,2
100337,438,2,2
100337,401,1,1
100337,405,3,3
100348,446,1,5
100348,424,1,3
100348,401,2,7
100348,414,1,2
100348,439,3,9
100348,407,1,4
100348,413,2,6
100348,400,2,8
100348,433,3,10
100348,419,1,1
106342,403,2,7
106342,433,3,10
106342,423,2,4
106342,NA,1,2
106342,414,1,3
106342,410,2,5
106342,417,2,6
106342,413,2,8
106342,432,2,9
106342,419,1,1
101590,419,3,2
101590,413,1,4
101590,433,3,1
101590,NA,2,1
101590,421,1,3
101590,401,3,3
101590,406,2,2
101590,448,2,4
101590,454,3,5
101590,438,1,1
101590,430,2,3
101590,408,3,4
101590,400,1,2
101590,435,3,6
103331,413,2,10
103331,438,1,1
103331,409,1,1
103331,404,2,8
103331,421,1,4
103331,426,2,7
103331,429,2,3
103331,406,2,9
103331,422,1,5
103331,403,1,2
103331,424,1,6
109077,404,3,2
109077,402,3,7
109077,424,3,5
109077,407,3,3
109077,422,3,1
109077,423,3,4
109077,409,3,9
109077,439,1,1
109077,410,3,8
109077,426,3,6
106268,410,2,1
106268,NA,2,1
106268,409,2,2
106268,419,1,2
106268,429,2,3
106268,414,2,2
106268,404,1,1
106268,403,1,3
106268,411,2,4
106268,432,2,3
105382,430,1,2
105382,432,2,4
105382,400,2,3
105382,406,1,1
105382,413,1,3
105382,409,2,2
105382,416,1,1
105382,422,3,1
105382,411,3,2
105382,402,2,1
102555,446,2,3
102555,438,2,1
102555,409,1,3
102555,429,1,4
102555,414,3,2
102555,400,1,2
102555,411,2,2
102555,454,3,1
102555,404,2,4
102555,446,1,1
104301,424,2,6
104301,432,1,1
104301,404,1,3
104301,418,3,9
104301,429,1,2
104301,410,3,8
104301,420,2,5
104301,433,3,10
104301,446,3,7
104301,409,2,4
102671,438,3,2
102671,437,3,1
102671,443,3,4
102671,406,3,8
102671,438,3,3
102671,404,3,6
102671,407,1,1
102671,426,3,9
102671,439,3,7
102671,422,3,5
104411,446,3,1
104411,442,3,1
104411,400,2,1
104411,401,3,1
104411,419,3,1
104411,402,1,1
104411,410,2,1
104411,438,3,1
104411,446,3,1
104411,413,3,1
107319,414,2,3
107319,402,3,2
107319,400,3,1
107319,438,2,2
107319,438,2,4
107319,424,1,2
107319,435,3,1
107319,410,3,3
107319,443,2,1
107319,422,1,1
103079,NA,3,1
103079,406,1,1
103079,414,3,1
103079,443,3,1
103079,401,3,1
103079,421,3,1
103079,416,3,1
103079,432,3,1
103079,427,3,1
103079,419,3,1
104453,417,2,2
104453,409,2,2
104453,403,2,3
104453,413,2,2
104453,432,3,1
104453,NA,2,3
104453,NA,2,3
104453,406,1,1
104453,410,2,2
104453,405,3,3
104453,429,3,2
100365,438,2,5
100365,442,2,7
100365,400,1,1
100365,438,2,2
100365,437,3,9
100365,434,2,4
100365,414,2,8
100365,419,2,3
100365,421,2,6
100365,401,3,10
100138,446,3,6
100138,444,1,1
100138,411,3,7
100138,443,3,5
100138,412,2,4
100138,446,1,2
100138,421,2,3
100138,416,3,9
100138,438,3,8
100138,442,3,10
103030,430,2,2
103030,406,1,1
103030,442,3,6
103030,413,2,1
103030,401,3,3
103030,433,3,2
103030,419,3,7
103030,434,3,4
103030,421,3,5
103030,438,3,1
101302,403,3,6
101302,417,3,7
101302,423,3,4
101302,405,3,9
101302,429,3,8
101302,439,2,2
101302,404,1,1
101302,407,3,3
101302,432,3,5
101302,433,3,10
109857,424,2,3
109857,421,2,4
109857,402,1,2
109857,433,3,1
109857,426,2,3
109857,423,2,2
109857,410,1,1
109857,407,2,1
109857,404,2,1
109857,412,2,4
103685,411,1,2
103685,442,2,1
103685,443,2,2
103685,421,3,1
103685,433,3,1
103685,400,1,1
103685,431,2,3
103685,438,2,2
103685,419,2,1
103685,434,2,2
108466,406,3,6
108466,419,3,5
108466,409,3,5
108466,403,2,3
108466,417,1,1
108466,NA,3,6
108466,423,1,1
108466,424,2,4
108466,405,2,4
108466,400,2,4
109503,435,3,10
109503,435,3,10
109503,438,3,10
109503,431,1,1
109503,421,3,10
109503,434,3,10
109503,402,3,10
109503,410,3,10
109503,442,3,10
109503,411,3,10
108346,448,3,1
108346,439,3,1
108346,422,2,1
108346,424,2,1
108346,404,3,1
108346,426,3,1
108346,410,2,1
108346,423,1,1
108346,407,2,1
108346,402,3,1
103091,433,3,5
103091,409,2,2
103091,430,3,4
103091,438,3,2
103091,413,3,1
103091,NA,3,3
103091,405,3,1
103091,414,3,2
103091,406,1,1
103091,422,2,1
107041,406,3,2
107041,NA,3,2
107041,434,3,1
107041,401,3,1
107041,416,3,2
107041,413,3,2
107041,419,3,2
107041,421,1,1
107041,403,3,1
107041,414,3,2
107041,438,3,2
107041,438,3,2
107041,430,3,2
101605,NA,3,3
101605,414,3,1
101605,443,1,3
101605,406,3,5
101605,438,1,2
101605,437,2,1
101605,400,2,2
101605,432,3,2
101605,419,3,4
101605,438,1,1
102596,439,1,2
102596,409,2,4
102596,429,2,2
102596,403,2,3
102596,432,3,2
102596,407,1,1
102596,417,2,1
102596,414,3,1
102596,404,2,5
102596,410,3,3
101438,NA,2,6
101438,417,2,3
101438,424,2,5
101438,403,2,4
101438,404,1,1
101438,429,3,10
101438,402,3,9
101438,405,3,8
101438,410,2,2
101438,422,2,7
102355,435,3,1
102355,437,3,1
102355,446,1,1
102355,448,3,1
102355,418,3,1
102355,454,3,1
102355,442,3,1
102355,452,3,1
102355,441,3,1
102355,415,3,1
108353,423,1,1
108353,439,3,1
108353,402,3,1
108353,424,2,2
108353,404,3,1
108353,422,1,2
108353,407,2,1
108353,448,2,2
108353,426,3,1
108353,410,3,1
101935,429,2,1
101935,405,1,1
101935,420,2,1
101935,440,2,1
101935,412,2,1
101935,427,2,1
101935,441,2,1
101935,436,2,1
101935,416,2,1
101935,414,3,1
100306,409,3,2
100306,410,3,3
100306,422,3,4
100306,407,3,4
100306,402,3,3
100306,400,1,1
100306,405,3,5
100306,439,3,3
100306,423,3,5
100306,433,3,4
104511,441,3,3
104511,430,1,2
104511,438,2,2
104511,434,2,1
104511,421,3,4
104511,435,3,5
104511,438,2,3
104511,NA,3,1
104511,442,3,2
104511,413,1,1
104511,406,1,3
108891,429,1,4
108891,412,3,3
108891,417,1,5
108891,432,1,1
108891,409,1,3
108891,427,1,2
108891,400,2,2
108891,406,3,2
108891,438,3,1
108891,411,2,1
109793,404,2,1
109793,446,3,4
109793,410,1,1
109793,433,3,5
109793,419,2,4
109793,400,2,2
109793,403,3,3
109793,438,3,1
109793,438,3,2
109793,NA,2,3
105230,436,2,1
105230,429,1,4
105230,416,1,3
105230,432,2,2
105230,417,1,1
105230,411,3,1
105230,430,1,4
105230,NA,1,2
105230,NA,1,3
105230,410,2,3
103919,400,3,4
103919,435,3,7
103919,409,3,3
103919,443,3,5
103919,411,1,1
103919,421,3,6
103919,432,3,8
103919,413,2,1
103919,433,3,2
103919,406,3,1
100752,NA,3,8
100752,432,1,1
100752,409,3,3
100752,419,3,7
100752,411,3,4
100752,406,3,6
100752,417,3,5
100752,403,2,2
100752,NA,2,2
100752,429,2,2
105558,432,2,3
105558,NA,2,1
105558,NA,2,5
105558,427,3,1
105558,416,3,2
105558,417,1,1
105558,413,1,2
105558,452,2,2
105558,403,2,4
105558,429,2,6
103285,403,3,2
103285,431,3,3
103285,409,1,1
103285,419,3,2
103285,427,3,2
103285,400,3,2
103285,406,3,2
103285,413,3,2
103285,418,3,3
103285,430,3,2
100411,424,2,4
100411,NA,3,2
100411,443,2,2
100411,410,1,2
100411,402,1,1
100411,438,2,1
100411,422,2,5
100411,400,2,6
100411,421,3,1
100411,423,2,3
109771,402,2,4
109771,419,3,5
109771,405,3,9
109771,439,3,7
109771,417,3,8
109771,407,3,10
109771,424,2,3
109771,403,3,6
109771,410,1,1
109771,404,2,2
109508,434,2,1
109508,431,1,1
109508,409,2,2
109508,421,1,3
109508,438,3,1
109508,413,3,2
109508,415,1,2
109508,404,3,3
109508,410,3,4
109508,430,2,3
107918,404,3,1
107918,419,2,2
107918,402,3,1
107918,448,3,1
107918,NA,1,1
107918,414,3,1
107918,423,1,2
107918,422,2,1
107918,410,3,1
107918,407,1,2
101102,438,2,3
101102,403,1,2
