PERSONID,SUBJECT_Pref,SUBJECT_Pref_Level,SUBJECT_Teach_Mapping
100348,ARTS,2,Humanities
100348,PREK,2,OtherSubjects
100348,FRENCH,3,ForeignLanguage
100348,CHEMISTRY,3,Science
100348,COMPUTERSCI,3,Math
100348,MUSIC,3,OtherSubjects
100348,MSMATH,3,Math
100348,MSGENERALIST,2,GeneralEd
100348,PHYSICS,3,Science
100348,ENGLISH,1,English
100348,BILINGUAL,3,ForeignLanguage
100348,HISTORY,2,SocialStudies
100348,ESL,1,English
100348,SPED,2,GeneralEd
100348,HSMATH,3,Math
100348,SPANISH,3,ForeignLanguage
100348,HSGENSCIENCE,3,Science
100348,MSGENSCIENCE,3,Science
100348,BIOLOGY,3,Science
100348,ELEMENTARY,1,GeneralEd
106342,HISTORY,1,SocialStudies
106342,FRENCH,3,ForeignLanguage
106342,SPED,2,GeneralEd
106342,ESL,1,English
106342,MSMATH,2,Math
106342,BILINGUAL,3,ForeignLanguage
106342,MSGENERALIST,2,GeneralEd
106342,MSGENSCIENCE,3,Science
106342,COMPUTERSCI,3,Math
106342,PHYSICS,3,Science
106342,HSGENSCIENCE,3,Science
106342,SPANISH,3,ForeignLanguage
106342,MUSIC,3,OtherSubjects
106342,ENGLISH,1,English
106342,BIOLOGY,3,Science
106342,PREK,3,OtherSubjects
106342,CHEMISTRY,3,Science
106342,HSMATH,2,Math
106342,ELEMENTARY,3,GeneralEd
106342,ARTS,3,Humanities
104301,ELEMENTARY,1,GeneralEd
104301,MSMATH,2,Math
104301,MSGENERALIST,2,GeneralEd
104301,SPANISH,3,ForeignLanguage
104301,BIOLOGY,2,Science
104301,ARTS,1,Humanities
104301,HISTORY,1,SocialStudies
104301,FRENCH,3,ForeignLanguage
104301,HSMATH,3,Math
104301,HSGENSCIENCE,2,Science
104301,PHYSICS,3,Science
104301,PREK,1,OtherSubjects
104301,ENGLISH,1,English
104301,ESL,2,English
104301,BILINGUAL,3,ForeignLanguage
104301,MUSIC,1,OtherSubjects
104301,COMPUTERSCI,2,Math
104301,CHEMISTRY,3,Science
104301,MSGENSCIENCE,2,Science
104301,SPED,3,GeneralEd
102671,FRENCH,3,ForeignLanguage
102671,COMPUTERSCI,3,Math
102671,CHEMISTRY,3,Science
102671,MSGENSCIENCE,3,Science
102671,HSMATH,3,Math
102671,BIOLOGY,3,Science
102671,BILINGUAL,3,ForeignLanguage
102671,PREK,3,OtherSubjects
102671,MSMATH,3,Math
102671,SPED,3,GeneralEd
102671,ESL,3,English
102671,PHYSICS,3,Science
102671,ARTS,3,Humanities
102671,MUSIC,3,OtherSubjects
102671,ELEMENTARY,3,GeneralEd
102671,SPANISH,3,ForeignLanguage
102671,HSGENSCIENCE,3,Science
102671,MSGENERALIST,3,GeneralEd
102671,ENGLISH,1,English
102671,HISTORY,3,SocialStudies
104411,CHEMISTRY,3,Science
104411,HSGENSCIENCE,3,Science
104411,PREK,2,OtherSubjects
104411,SPED,2,GeneralEd
104411,MSGENERALIST,2,GeneralEd
104411,MSMATH,3,Math
104411,MUSIC,3,OtherSubjects
104411,SPANISH,3,ForeignLanguage
104411,ELEMENTARY,2,GeneralEd
104411,ENGLISH,2,English
104411,FRENCH,3,ForeignLanguage
104411,COMPUTERSCI,3,Math
104411,MSGENSCIENCE,3,Science
104411,BIOLOGY,3,Science
104411,ESL,1,English
104411,BILINGUAL,3,ForeignLanguage
104411,HSMATH,3,Math
104411,PHYSICS,3,Science
104411,HISTORY,2,SocialStudies
104411,ARTS,3,Humanities
100365,FRENCH,3,ForeignLanguage
100365,MSGENSCIENCE,3,Science
100365,ELEMENTARY,1,GeneralEd
100365,PHYSICS,3,Science
100365,PREK,3,OtherSubjects
100365,HSMATH,3,Math
100365,HISTORY,1,SocialStudies
100365,ARTS,3,Humanities
100365,COMPUTERSCI,3,Math
100365,MUSIC,3,OtherSubjects
100365,ESL,3,English
100365,ENGLISH,1,English
100365,SPANISH,3,ForeignLanguage
100365,BIOLOGY,3,Science
100365,BILINGUAL,3,ForeignLanguage
100365,SPED,2,GeneralEd
100365,MSMATH,3,Math
100365,MSGENERALIST,3,GeneralEd
100365,HSGENSCIENCE,3,Science
100365,CHEMISTRY,3,Science
103030,MSMATH,3,Math
103030,MUSIC,3,OtherSubjects
103030,ARTS,2,Humanities
103030,MSGENERALIST,2,GeneralEd
103030,ELEMENTARY,3,GeneralEd
103030,HSGENSCIENCE,3,Science
103030,SPANISH,3,ForeignLanguage
103030,HSMATH,3,Math
103030,FRENCH,3,ForeignLanguage
103030,PHYSICS,3,Science
103030,BILINGUAL,3,ForeignLanguage
103030,HISTORY,1,SocialStudies
103030,ENGLISH,2,English
103030,ESL,3,English
103030,MSGENSCIENCE,3,Science
103030,COMPUTERSCI,2,Math
103030,SPED,3,GeneralEd
103030,CHEMISTRY,3,Science
103030,BIOLOGY,3,Science
103030,PREK,3,OtherSubjects
109857,FRENCH,3,ForeignLanguage
109857,SPANISH,3,ForeignLanguage
109857,CHEMISTRY,3,Science
109857,HSGENSCIENCE,3,Science
109857,MSGENERALIST,1,GeneralEd
109857,PHYSICS,3,Science
109857,ELEMENTARY,1,GeneralEd
109857,HISTORY,1,SocialStudies
109857,ARTS,3,Humanities
109857,BILINGUAL,3,ForeignLanguage
109857,ESL,3,English
109857,COMPUTERSCI,2,Math
109857,HSMATH,2,Math
109857,MSMATH,1,Math
109857,PREK,1,OtherSubjects
109857,MUSIC,3,OtherSubjects
109857,ENGLISH,2,English
109857,BIOLOGY,3,Science
109857,MSGENSCIENCE,2,Science
109857,SPED,2,GeneralEd
103685,SPANISH,3,ForeignLanguage
103685,SPED,3,GeneralEd
103685,MSGENSCIENCE,3,Science
103685,COMPUTERSCI,3,Math
103685,PHYSICS,3,Science
103685,HSMATH,2,Math
103685,MSGENERALIST,1,GeneralEd
103685,BIOLOGY,3,Science
103685,ELEMENTARY,3,GeneralEd
103685,HISTORY,1,SocialStudies
103685,MSMATH,2,Math
103685,FRENCH,3,ForeignLanguage
103685,BILINGUAL,3,ForeignLanguage
103685,CHEMISTRY,3,Science
103685,MUSIC,3,OtherSubjects
103685,ARTS,3,Humanities
103685,PREK,3,OtherSubjects
103685,HSGENSCIENCE,3,Science
103685,ESL,3,English
103685,ENGLISH,3,English
109503,CHEMISTRY,3,Science
109503,BILINGUAL,3,ForeignLanguage
109503,ENGLISH,1,English
109503,COMPUTERSCI,3,Math
109503,FRENCH,3,ForeignLanguage
109503,MSGENSCIENCE,3,Science
109503,MUSIC,3,OtherSubjects
109503,ARTS,3,Humanities
109503,HSGENSCIENCE,3,Science
109503,PHYSICS,3,Science
