PERSONID,Applicant_Pool,UNIV_Selectivity,UNIV_Major,Candidate_Strength,Low_IncomeComm_Ex,Low_IncomeComm_Ex_L,Mission_KNWL_ALNMT,FastApp,ESSAY_Length,ESSAY_T1,ESSAY_T2,ESSAY_T3,ESSAY_T4,ESSAY_T5,ESSAY_T6,ESSAY_T7,ESSAY_T8,ESSAY_T9,ESSAY_T10,MATCH_REGION_CODE,MATCH_Subject,MATCH_is_home_region,MATCH_is_UNIV_Region,MATCH_is_Current_Region,MATCH_District,MATCH_School,MATCH_School_Type,MATCH_Grade_Level,MATCH_Y1_subject_group,OUTCOME_1_Confirmed,OUTCOME_2_StartTeaching,OUTCOME_3_Complet_Y1,OC_Satisfaction_Y1,OUTCOME_4_Complet_Y2,OC_Satisfaction_Y2,MATCH_Region_Pref_Level,MATCH_Region_Pref_Rank,MATCH_Subject_Prefer
100064,A,More Selective,Art,0.75503737,Y,LEVEL3,4,0,1697,0.002565722,0.002565495,0.487455308,0.002565124,0.073421769,0.002566765,0.002565521,0.0025654609999999998,0.42116347,0.002565342,401,HSGENSCIENCE,TRUE,TRUE,TRUE,Partner 379,School 2398,Traditional Public School,HIGH,Science,1,1,1,7,1,6.75,1,1,2
101497,A,Least Selective,Business,0.95738268,Y,LEVEL3,3.5,1,2360,0.727024734,0.001888355,0.25786832,0.001888116,0.001888349,0.001888542,0.001888206,0.00188842,0.00188842,0.001888538,404,MSMATH,FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,1,0,0,NA,0,NA,1,1,1
103346,B,Most Selective,Economics,0.805951,Y,LEVEL2,2.5,1,1272,0.002778844,0.002778853,0.083430275,0.002778698,0.002779499,0.002778878,0.305585533,0.002779392,0.002778893,0.591531157,409,HSMATH,FALSE,FALSE,FALSE,Partner 546,School 0418,Traditional Public School,MIDDLE,Math,1,1,1,6,1,6,1,1,1
101620,B,Least Selective,Management,0.69435874,Y,LEVEL1,2,0,1719,0.73072046,0.221053213,0.002339565,0.002339708,0.002339731,0.002339784,0.002339395,0.002339748,0.031848747,0.002339626,438,MSMATH,FALSE,FALSE,FALSE,Partner 435,School 1477,Traditional Public School,MIDDLE,Math,1,1,1,5,0,NA,1,1,0
103743,A,Selective,Sociology,0.71139791,N,LEVEL3,4,0,1800,0.36304909,0.173043385,0.002637403,0.002637776,0.002637485,0.351056635,0.002637765,0.09702529,0.002637399,0.002637702,411,SPED,FALSE,FALSE,TRUE,Partner 545,School 1030,Charter School,HIGH,Other,1,1,1,5.25,1,NA,1,2,1
109532,B,Selective,Business,0.8065947,Y,LEVEL2,2.5,0,1617,0.582424343,0.003032241,0.003032326,0.003032475,0.003032382,0.003032333,0.003032353,0.393316388,0.003032396,0.003032736,431,MSMATH,FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,1,1,0,NA,0,NA,1,1,1
100337,B,Selective,Other,0.87274519,Y,LEVEL3,4.5,0,1288,0.22651504,0.002440257,0.220060706,0.002440086,0.00244038,0.002440256,0.366804928,0.002440361,0.002440551,0.171977475,400,MSMATH,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,0,0,0,NA,0,NA,3,99,3
100348,B,Selective,English,0.73466557,Y,LEVEL3,4.5,1,2134,0.002128751,0.002128511,0.656442404,0.002128716,0.326527834,0.00212855,0.002128659,0.002129128,0.002128537,0.0021289,400,ELEMENTARY,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,1,0,0,NA,0,NA,2,8,1
106342,A,More Selective,Political Science,0.85506538,Y,LEVEL2,4,1,1474,0.002508371,0.492096215,0.125813752,0.002509076,0.281419128,0.002507878,0.085621782,0.002508165,0.002508,0.002507672,419,ENGLISH,TRUE,TRUE,TRUE,Partner 142,School 0544,Traditional Public School,HIGH,English,1,1,1,4,1,4.25,1,1,1
101590,B,Least Selective,Communications,0.82100873,Y,LEVEL3,4,0,1568,0.003126517,0.003125852,0.430455923,0.003126119,0.003126111,0.003126103,0.003126478,0.003126134,0.003126441,0.544534326,438,ELEMENTARY,TRUE,TRUE,TRUE,Partner 014,School 0900,Traditional Public School,UPPER ELEMENTARY (3-5),Science,1,1,1,7,1,NA,1,1,1
103331,A,More Selective,Education (elementary),0.67048266,NA,LEVEL2,3.5,0,1715,0.003127405,0.003127253,0.306402892,0.003127256,0.003127164,0.477355093,0.003127758,0.194350496,0.003127001,0.003127687,409,HSGENSCIENCE,FALSE,FALSE,FALSE,Partner 138,School 2264,Traditional Public School,Lower Elementary (1-2),General Ed,1,1,1,6.75,1,7,1,1,2
109077,B,Least Selective,Psychology,0.80581058,Y,LEVEL3,4,0,1698,0.003335604,0.003335874,0.540198982,0.003335759,0.003335873,0.003335393,0.326369226,0.003335995,0.00333553,0.110081799,439,ESL,TRUE,TRUE,TRUE,Partner 500,School 1855,Traditional Public School,UPPER ELEMENTARY (3-5),Science,1,1,1,6.25,1,7,1,1,3
106268,B,Most Selective,Engineering (general),0.68474852,Y,LEVEL3,4.5,0,1746,0.02810814,0.001787733,0.001787544,0.001787327,0.001787361,0.500787079,0.093132332,0.001787527,0.367247313,0.001787613,419,MSMATH,FALSE,FALSE,FALSE,Partner 142,School 0289,Traditional Public School,HIGH,Math,1,1,1,6.75,1,5.5,1,2,1
105382,A,Less Selective,Communications,0.80116282,Y,LEVEL3,4,0,1564,0.002502036,0.451758087,0.002501958,0.002502106,0.080200888,0.214164838,0.002502388,0.002502027,0.238863736,0.002501928,416,ENGLISH,TRUE,TRUE,TRUE,Partner 550,School 0227,Traditional Public School,HIGH,English,1,1,1,7,1,4.75,1,1,1
102555,B,Less Selective,Music,0.74468075,Y,LEVEL3,3.5,0,985,0.005264393,0.005264537,0.005263991,0.387867123,0.326079011,0.249203071,0.005264777,0.00526479,0.005263888,0.005264454,446,MSGENERALIST,TRUE,TRUE,FALSE,Partner 475,School 0261,Traditional Public School,MIDDLE,Science,1,1,1,5.25,1,4.25,1,1,1
104301,B,More Selective,Mass Communications,0.73675245,Y,LEVEL2,2,0,2005,0.002175297,0.002174962,0.002175159,0.002175083,0.002175207,0.002175165,0.221263587,0.761335015,0.002175167,0.002175379,432,SPED,FALSE,TRUE,TRUE,Partner 394,School 1433,Traditional Public School,6,English,1,1,1,5.75,1,6.25,1,1,3
102671,B,Selective,English,0.79440976,N,LEVEL2,3.5,1,2102,0.571571887,0.001854897,0.001854425,0.001854863,0.001854457,0.175606623,0.001854587,0.239839584,0.001854377,0.001854351,407,ENGLISH,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,1,0,0,NA,0,NA,1,1,1
104411,B,Selective,Liberal Studies,0.69178508,Y,LEVEL3,3,1,1278,0.086751431,0.003449511,0.003449403,0.003450059,0.304351896,0.003449609,0.003449956,0.003449994,0.003449238,0.584748924,413,ELEMENTARY,TRUE,FALSE,TRUE,NA,NA,NA,NA,NA,1,0,0,NA,0,NA,3,1,2
107319,B,Least Selective,Business,0.76672396,Y,LEVEL3,3.5,1,1910,0.002273917,0.002273701,0.002274048,0.279052913,0.002273733,0.002273631,0.105131179,0.599899292,0.002273802,0.002273773,422,SPED,FALSE,FALSE,TRUE,Partner 359,School 1815,Charter School,6,General Ed,1,1,1,7,1,7,1,1,1
