REGION_CODE,CERT_COST,RENT_2_shared,RENT_1_single,Y1_MIN_SAL,Y1_MAX_SAL,Y2_MIN_SAL,Y2_MAX_SAL,SEX_RATIO_ M,AGE_20_24,AGE_25_29,AGE_30_34,AGE_35_39,AGE_40_44,AGE_45_49,RACE_NON_WHITE,RACE_Two_or_more,Population_size,ED_ATN_Less_9G,ED_ATN_HS_p,ED_ATN_Bachelor_p,TEMP_MAX_JAN,TEMP_MAX_FEB,TEMP_MAX_MAR,TEMP_MAX_APR,TEMP_MAX_MAY,TEMP_MAX_JUN,TEMP_MAX_JUL,TEMP_MAX_AUG,TEMP_MAX_SEP,TEMP_MAX_OCT,TEMP_MAX_NOV,TEMP_MAX_DEC,TEMP_MAX_ANN,TEMP_MIN_JAN,TEMP_MIN_FEB,TEMP_MIN_MAR,TEMP_MIN_APR,TEMP_MIN_MAY,TEMP_MIN_JUN,TEMP_MIN_JUL,TEMP_MIN_AUG,TEMP_MIN_SEP,TEMP_MIN_OCT,TEMP_MIN_NOV,TEMP_MIN_DEC,TEMP_MIN_ANN,SUN_PERCT_JAN,SUN_PERCT_FEB,SUN_PERCT_MAR,SUN_PERCT_APR,SUN_PERCT_MAY,SUN_PERCT_JUN,SUN_PERCT_JUL,SUN_PERCT_AUG,SUN_PERCT_SEP,SUN_PERCT_OCT,SUN_PERCT_NOV,SUN_PERCT_DEC,SUN_PERCT_ANN,DEM_perc_16,DEM_perc_20,GOP_perc_16,GOP_perc_20,delta_turnout,ECON_GINI,TOURISTS,WALKSCORE,BIKESCORE,TRANISTCORE
401,1750,400,500,40873,54539,40873,54539,91.4,6,7,6.9,6.4,6.6,6.3,0.3557,0.0162,small,3.2,91.7,35.6,57.4,61.8,69.7,76.6,84,89.8,92.1,91.9,87.3,78.3,69,59.6,76.5,35.7,39.2,45.3,51.6,60.7,68.1,71.5,71,65.2,53.5,43.9,37.4,53.7,47,55,58,64,63,64,61,61,59,63,55,49,58,0.633,0.643,0.356,0.349,1.119,0.4884,0.0001,36.5,33.5,25
444,43,325,450,32000,36000,32000,36000,94.6,6.2,6,5.3,6.2,5.9,6.4,0.0524,0.0163,very small,3.7,91.7,27.7,45.4,49.1,57.9,68.2,75.4,83.2,86.5,85.2,78.3,68.5,58.5,47.8,67,24.8,27.2,33.8,42.6,50.9,60.1,64,63,55.7,44,35.1,27.3,44.1,53,58,60,62,63,65,62,64,60,59,55,52,59,0.168,0.179,0.804,0.809,1.012,0.4712,0.00001,38,32,0
400,2300,720,1200,44000,47000,44000,47000,93.5,6.4,7.3,7,7.1,6.8,7.2,0.4778,0.0276,big city,4,92,43,52.3,56.6,64.6,72.5,79.9,86.4,89.1,88.1,82.2,72.7,63.6,54,71.8,34.3,37.7,44.1,51.5,60.3,68.2,71.3,70.7,64.8,54,44.5,36.5,53.2,50,56,59,66,65,66,62,62,60,67,61,53,60,0.771,0.788,0.201,0.201,1.31,0.4683,0.0185,48,45,47
402,7500,800,1200,50641,53724,50641,53724,92.9,6.1,7.1,7.3,6.9,6,6.1,0.4075,0.0322,city,2.7,94.8,46.1,41.4,44.9,53.6,64.6,73.9,83,87.2,85.1,77.9,66.8,56.4,45.3,65,24.4,26.6,33.5,42.7,52,61.9,66.8,65.2,57.6,45.4,36.5,28.1,45.1,50,58,55,57,55,60,63,61,57,56,50,47,55,0.565,0.623,0.391,0.352,1.263,0.4615,0.0045,88,88,78
403,6195,650,1500,47000,60000,47000,65000,97.8,5.6,7.9,8.3,7.8,6.9,6.8,0.528,0.0592,city,5.5,93.8,59.6,56.9,60.2,61.8,63.1,64.3,66.4,66.5,68.1,70.2,69.2,63.1,57.1,63.9,45.7,47.5,48.5,49.2,51,52.8,54.1,55.1,55.1,53.7,50.1,46.1,50.8,58,66,71,77,75,69,70,69,73,71,55,55,67,0.739,0.748,0.204,0.231,1.355,0.4859,0.0003,60,60,46.66666667
404,3750,800,1800,40000,55000,42000,60000,93.2,7.8,7.1,6.9,6.3,5.7,6.1,0.2127,0.0377,city,4.1,92.1,48.3,35.8,38.7,45.4,55.6,66,75.9,81.4,79.6,72.4,61.4,51.5,41.2,58.7,22.2,24.7,31.1,40.6,49.9,59.5,65.4,64.6,57.4,46.5,38,28.2,44.1,56,56,56,59,60,64,68,66,64,60,48,49,58,0.644,0.673,0.305,0.306,1.143,0.4714,0.0935,61.66666667,52.66666667,57.5
438,888,800,900,40000,42000,40000,42000,92.7,6.1,6.8,6.5,6.2,6.2,6.9,0.3209,0.0278,small,4.5,90.5,33.5,48.3,52.5,60.9,70.2,77.5,84.8,87.9,86.3,79.7,70.3,60.8,50.7,69.2,29.5,32.4,39.1,47.3,56.1,65.3,69.1,68,60.6,48.8,39.6,32,49.1,54,59,62,64,60,61,61,61,59,61,59,56,59,0.585,0.612,0.385,0.372,1.205,0.469,0.043,26,32.66666667,29
405,9500,820,1600,40000,56665,40000,56665,95.8,6.4,7.4,7.1,6.9,6.5,6.5,0.3426,0.0292,big city,5.2,93.6,46.7,31,35.3,46.6,59,70,79.7,84.1,81.9,74.8,62.3,48.2,34.8,59,16.5,20.1,29.2,38.8,48.3,58.1,63.9,62.9,54.3,42.8,32.4,20.7,40.8,41,42,53,53,58,66,68,61,61,56,35,35,52,0.664,0.656,0.296,0.329,1.157,0.4808,0.01,55.5,59,65
446,90,550,700,36000,45000,36000,45000,94.8,6.4,6.8,6.5,6.2,5.7,6,0.2263,0.0325,small,2.5,93.3,36.7,34.4,37.5,46.6,59.1,69.5,78.6,82.6,80.8,73.9,62.3,50.8,38.3,59.5,21.7,23.6,30.2,40.4,50.1,59.8,64.3,63.1,56,45.4,36.9,26.4,43.3,31,40,44,52,57,64,66,61,59,48,30,22,47,0.552,0.58,0.408,0.406,1.108,0.4673,0.004333333,52.66666667,49,44.5
407,5250,500,1000,46000,50000,48000,52000,94.7,6.7,6.3,6.3,6.2,6,6.4,0.2769,0.0372,small,4.4,93.1,46.2,38.3,41.6,49.7,61.2,70.8,79.3,84.1,82.6,75.2,63.8,53.8,43,62,26.9,28.9,35.2,44.8,54,63.6,68.8,67.8,60.8,50,41.6,32,48,53,54,54,59,57,56,60,64,59,59,48,44,55,0.57,0.613,0.39,0.373,1.161,0.4974,0.038666667,64.66666667,57,49.33333333
